timestamp,location_id,vehicle_count,avg_speed,weather,day_of_week,is_holiday,event,sensor_status,road_condition,target_congestion_level
2023-01-01 03:00:00,ENT002,23.0,40.72036861283745,Clear,Thursday,0.0,Parade,FAIL,Good,0.0
2023-01-01 03:15:00,GUL004,15.0,37.87791030098848,Rainy,Tuesday,0.0,Parade,FAIL,Poor,1.0
2023-01-01 03:30:00,GUL004,21.0,30.480815399777644,Clear,Saturday,1.0,Marathon,OK,Moderate,2.0
2023-01-01 03:45:00,MBR003,25.0,40.774805185188626,Rainy,Monday,0.0,None,UNKNOWN,???,0.0
2023-01-01 04:00:00,GUL004,15.0,42.57752540142751,Snowy,Friday,0.0,Marathon,OK,Moderate,1.0
2023-01-01 04:30:00,ENT002,19.0,43.341764172448976,Foggy,Wednesday,0.0,None,UNKNOWN,Good,3.0
2023-01-01 04:45:00,MBR003,21.0,38.44740951175251,Clear,Friday,1.0,Parade,OK,Poor,2.0
2023-01-01 05:00:00,KLA001,17.0,20.92192442122609,Rainy,Friday,0.0,Accident,FAIL,Moderate,4.0
2023-01-01 05:15:00,ENT002,19.0,31.39614989220498,Foggy,Thursday,0.0,Accident,FAIL,Moderate,2.0
2023-01-01 05:30:00,KLA001,16.0,35.863944665783556,Snowy,Saturday,1.0,Accident,FAIL,Good,4.0
2023-01-01 05:45:00,KLA001,21.0,58.8768765734019,Snowy,Monday,1.0,Marathon,FAIL,Good,1.0
2023-01-01 06:00:00,MBR003,21.0,45.56553124533758,Foggy,Thursday,0.0,Accident,OK,Poor,2.0
2023-01-01 06:15:00,MBR003,17.0,26.64518430900109,Clear,Saturday,1.0,Parade,UNKNOWN,Good,1.0
2023-01-01 06:30:00,GUL004,22.0,44.86036289417637,Rainy,Tuesday,1.0,Accident,FAIL,Poor,1.0
2023-01-01 06:45:00,KLA001,14.0,24.526960110616344,Snowy,Friday,0.0,Accident,OK,Good,0.0
2023-01-01 07:00:00,ENT002,17.0,50.826910538870735,Foggy,Thursday,1.0,Accident,UNKNOWN,Poor,1.0
2023-01-01 07:15:00,MBR003,???,35.28875348182122,Snowy,Tuesday,0.0,Marathon,UNKNOWN,Poor,1.0
2023-01-01 07:30:00,KLA001,21.0,39.06363811260829,Snowy,Monday,1.0,Parade,UNKNOWN,Poor,2.0
2023-01-01 07:45:00,ENT002,21.0,53.2579664754219,Rainy,Monday,0.0,Accident,UNKNOWN,Good,2.0
2023-01-01 08:00:00,KLA001,13.0,27.1283643141575,Clear,Wednesday,1.0,None,OK,Poor,3.0
2023-01-01 08:15:00,KLA001,18.0,26.028818148870087,Clear,Tuesday,1.0,Marathon,UNKNOWN,Moderate,0.0
2023-01-01 08:30:00,ENT002,25.0,???,Rainy,Tuesday,0.0,Accident,OK,Poor,1.0
2023-01-01 08:45:00,ENT002,17.0,50.38378851019317,Foggy,Thursday,0.0,Accident,FAIL,Moderate,0.0
2023-01-01 09:00:00,MBR003,24.0,24.806539245231576,Foggy,Saturday,0.0,Marathon,FAIL,Good,4.0
2023-01-01 09:15:00,KLA001,23.0,11.67844401889431,Clear,Friday,0.0,None,OK,Moderate,1.0
2023-01-01 09:30:00,ENT002,24.0,35.488411415910015,Snowy,Saturday,1.0,None,OK,Poor,0.0
2023-01-01 09:45:00,KLA001,18.0,45.5174079991092,Snowy,Saturday,0.0,Marathon,UNKNOWN,Good,3.0
2023-01-01 10:00:00,MBR003,26.0,52.00261749738829,Foggy,Friday,0.0,Accident,UNKNOWN,Good,3.0
2023-01-01 10:45:00,KLA001,23.0,51.53900734255747,Foggy,Wednesday,1.0,Marathon,OK,Good,3.0
2023-01-01 11:00:00,ENT002,26.0,21.302583003045793,Rainy,Wednesday,0.0,Marathon,UNKNOWN,Good,3.0
2023-01-01 11:15:00,MBR003,14.0,36.114792248169906,Clear,Tuesday,0.0,None,OK,Poor,4.0
2023-01-01 11:30:00,MBR003,24.0,41.90423889925058,Rainy,Monday,1.0,Marathon,OK,Good,0.0
2023-01-01 11:45:00,GUL004,24.0,44.49218721285034,Clear,Monday,0.0,Accident,UNKNOWN,Good,3.0
2023-01-01 12:00:00,ENT002,20.0,34.901933068091175,Foggy,Thursday,0.0,Accident,OK,Good,2.0
2023-01-01 12:15:00,KLA001,17.0,40.344410117058416,Rainy,Friday,1.0,Parade,OK,Good,3.0
2023-01-01 12:30:00,MBR003,27.0,15.116726465870105,Foggy,Friday,1.0,Parade,FAIL,Good,0.0
2023-01-01 12:45:00,MBR003,19.0,33.41751587666152,Clear,Sunday,0.0,Marathon,OK,Poor,0.0
2023-01-01 13:00:00,GUL004,16.0,44.53508712554468,Snowy,Thursday,0.0,Parade,UNKNOWN,Poor,1.0
2023-01-01 13:15:00,GUL004,17.0,30.177059657453206,Snowy,Tuesday,0.0,Marathon,FAIL,Good,2.0
2023-01-01 13:30:00,GUL004,28.0,40.58984221589597,Clear,Monday,1.0,None,UNKNOWN,Good,0.0
2023-01-01 13:45:00,GUL004,24.0,44.46872500802698,Snowy,Wednesday,1.0,None,FAIL,Poor,4.0
2023-01-01 14:00:00,ENT002,27.0,36.57450799142235,Snowy,Monday,1.0,None,UNKNOWN,Good,2.0
2023-01-01 14:15:00,MBR003,17.0,41.70463770996571,Rainy,Thursday,1.0,None,FAIL,Moderate,2.0
2023-01-01 14:30:00,ENT002,16.0,30.372674347153875,Rainy,Monday,0.0,Accident,UNKNOWN,Poor,4.0
2023-01-01 14:45:00,ENT002,19.0,37.93388720303953,Snowy,Wednesday,0.0,None,OK,Moderate,3.0
2023-01-01 15:00:00,MBR003,14.0,46.10216169589223,Rainy,Sunday,1.0,None,OK,Moderate,4.0
2023-01-01 15:15:00,GUL004,29.0,41.569729609684344,Clear,Saturday,0.0,Accident,UNKNOWN,Good,4.0
2023-01-01 15:30:00,KLA001,20.0,34.13468730436065,???,Saturday,1.0,Marathon,FAIL,Poor,3.0
2023-01-01 15:45:00,MBR003,32.0,42.24216404290793,Rainy,Friday,1.0,Parade,FAIL,Good,3.0
2023-01-01 16:15:00,ENT002,17.0,19.50058721422522,Foggy,Tuesday,1.0,Marathon,OK,Moderate,3.0
2023-01-01 16:30:00,GUL004,21.0,51.59074064955898,Clear,Monday,1.0,Parade,OK,Good,3.0
2023-01-01 16:45:00,GUL004,10.0,36.63745261318928,Snowy,Monday,1.0,None,FAIL,Poor,4.0
2023-01-01 17:00:00,GUL004,27.0,44.2548993324023,Snowy,Tuesday,0.0,None,FAIL,Good,1.0
2023-01-01 17:15:00,GUL004,14.0,51.97246923645228,Foggy,Tuesday,1.0,None,OK,Moderate,1.0
2023-01-01 17:30:00,MBR003,22.0,26.28326302769534,Rainy,Saturday,1.0,None,OK,Moderate,0.0
2023-01-01 17:45:00,MBR003,16.0,???,Clear,Wednesday,0.0,Parade,FAIL,Poor,1.0
2023-01-01 18:00:00,KLA001,18.0,37.11451304124295,Clear,Monday,1.0,None,FAIL,Moderate,1.0
2023-01-01 18:15:00,GUL004,22.0,32.16246478875571,Snowy,Thursday,1.0,None,FAIL,Poor,4.0
2023-01-01 18:30:00,GUL004,13.0,57.34936575836808,Foggy,Sunday,1.0,None,UNKNOWN,Good,3.0
2023-01-01 18:45:00,ENT002,17.0,31.432279061732075,Foggy,Monday,1.0,Parade,OK,,3.0
2023-01-01 19:00:00,MBR003,22.0,34.44453220513133,Foggy,Wednesday,1.0,Accident,OK,Moderate,4.0
2023-01-01 19:15:00,MBR003,20.0,42.04389031602977,Foggy,Sunday,0.0,Parade,FAIL,Good,1.0
2023-01-01 19:30:00,KLA001,22.0,27.978504739239114,Clear,Thursday,0.0,None,FAIL,Moderate,4.0
2023-01-01 19:45:00,GUL004,23.0,36.04319288243736,Rainy,Thursday,1.0,Parade,UNKNOWN,Moderate,0.0
2023-01-01 20:00:00,ENT002,29.0,43.17453261250175,Snowy,Thursday,0.0,Marathon,FAIL,Moderate,3.0
2023-01-01 20:15:00,KLA001,18.0,36.67139595617489,Clear,Saturday,0.0,Marathon,FAIL,Good,2.0
2023-01-01 20:30:00,MBR003,17.0,39.06613141100052,Foggy,Wednesday,0.0,Accident,UNKNOWN,Moderate,0.0
2023-01-01 20:45:00,GUL004,25.0,34.70667887551629,Foggy,Monday,1.0,None,UNKNOWN,Moderate,0.0
2023-01-01 21:00:00,MBR003,20.0,24.85529690819233,Snowy,Saturday,0.0,Accident,OK,Moderate,4.0
2023-01-01 21:15:00,MBR003,27.0,43.215932113392384,Rainy,Friday,0.0,Marathon,OK,Poor,1.0
2023-01-01 21:30:00,GUL004,18.0,57.54933071647241,Rainy,Thursday,0.0,Accident,UNKNOWN,Poor,3.0
2023-01-01 21:45:00,KLA001,26.0,40.18401630783438,Rainy,Tuesday,0.0,Marathon,FAIL,Poor,2.0
2023-01-01 22:00:00,KLA001,22.0,42.25264117247549,Foggy,Wednesday,1.0,Marathon,OK,Moderate,0.0
2023-01-01 22:15:00,ENT002,21.0,46.92722755116859,Clear,Thursday,0.0,Parade,OK,Good,2.0
2023-01-01 22:30:00,MBR003,13.0,27.306695034533007,Clear,Wednesday,0.0,None,FAIL,Moderate,1.0
2023-01-01 22:45:00,GUL004,21.0,57.025146581296056,Rainy,Tuesday,1.0,Marathon,FAIL,Good,1.0
2023-01-01 23:00:00,ENT002,22.0,42.02328796422802,Snowy,Thursday,1.0,None,FAIL,Moderate,2.0
2023-01-01 23:30:00,ENT002,18.0,32.66967004476011,Rainy,Wednesday,1.0,Accident,UNKNOWN,Good,1.0
2023-01-01 23:45:00,KLA001,22.0,58.18061922557825,Snowy,Thursday,1.0,Marathon,UNKNOWN,Moderate,2.0
2023-01-02 00:00:00,ENT002,22.0,47.75155494034783,Rainy,Thursday,1.0,None,FAIL,Poor,0.0
